veri,sehir,secmen,oy,gecerli_oy,sira,parti,alinan_bel,aday,oran,oy_2019,oran_2019,ilce
meclisi alınan ilçeler,ÇORUM BELEDİYESİ,,63.129,,1.0,MHP,7,,,,,
meclisi alınan ilçeler,ÇORUM BELEDİYESİ,,106.954,,2.0,AK PARTI,4,,,,,
meclisi alınan ilçeler,ÇORUM BELEDİYESİ,,82.246,,3.0,CHP,3,,,,,
il meclisi,ÇORUM BELEDİYESİ,,106.954,,1.0,AK PARTI,,,%34.06,151.138,%45.14,
il meclisi,ÇORUM BELEDİYESİ,,82.246,,2.0,CHP,,,%26.19,76.584,%22.87,
il meclisi,ÇORUM BELEDİYESİ,,63.129,,3.0,MHP,,,%20.10,72.113,%21.54,
il meclisi,ÇORUM BELEDİYESİ,,28.413,,4.0,YENIDEN REFAH,,,%9.05,0,%0.00,
il meclisi,ÇORUM BELEDİYESİ,,11.689,,5.0,İYI PARTI,,,%3.72,26.055,%7.78,
il meclisi,ÇORUM BELEDİYESİ,,5.276,,6.0,ZAFER PARTISI,,,%1.68,0,%0.00,
il meclisi,ÇORUM BELEDİYESİ,,3.963,,7.0,SAADET,,,%1.26,4.422,%1.32,
il meclisi,ÇORUM BELEDİYESİ,,3.843,,8.0,BÜYÜK BIRLIK,,,%1.22,1.387,%0.41,
il meclisi,ÇORUM BELEDİYESİ,,1.247,,9.0,BTP,,,%0.40,517,%0.15,
il meclisi,ÇORUM BELEDİYESİ,,1.119,,10.0,DEVA PARTISI,,,%0.36,0,%0.00,
il meclisi,ÇORUM BELEDİYESİ,,781,,11.0,DP,,,%0.25,1.428,%0.43,
il meclisi,ÇORUM BELEDİYESİ,,762,,12.0,EMEP,,,%0.24,0,%0.00,
il meclisi,ÇORUM BELEDİYESİ,,728,,13.0,TİP,,,%0.23,0,%0.00,
ilce,ÇORUM BELEDİYESİ,,5.479,,1.0,MHP,,ŞERİF ARSLAN,%51.83,,,ALACA
ilce,ÇORUM BELEDİYESİ,,1.268,,2.0,AK PARTI,,AHMET BAHADIR ÜNLÜ,%35.85,,,BAYAT
ilce,ÇORUM BELEDİYESİ,,54.805,,3.0,AK PARTI,,HALİL İBRAHİM AŞGIN,%40.55,,,MERKEZ
ilce,ÇORUM BELEDİYESİ,,4.354,,4.0,AK PARTI,,İSMAİL ÇİZİKCİ,%41.89,,,İSKİLİP
ilce,ÇORUM BELEDİYESİ,,1.935,,5.0,CHP,,HAMİT DERELİ,%54.48,,,KARGI
ilce,ÇORUM BELEDİYESİ,,1.201,,6.0,CHP,,VELİ AYLAR,%43.15,,,MECİTÖZÜ
ilce,ÇORUM BELEDİYESİ,,932,,7.0,AK PARTI,,TANER İSBİR,%41.98,,,ORTAKÖY
ilce,ÇORUM BELEDİYESİ,,8.586,,8.0,MHP,,AHMET GELGÖR,%48.54,,,OSMANCIK
ilce,ÇORUM BELEDİYESİ,,9.684,,9.0,MHP,,MUHSİN DERE,%53.05,,,SUNGURLU
ilce,ÇORUM BELEDİYESİ,,897,,10.0,AK PARTI,,ADEM ÖZEL,%57.76,,,BOĞAZKALE
ilce,ÇORUM BELEDİYESİ,,1.546,,11.0,AK PARTI,,REMZİ TORUN,%49.16,,,UĞURLUDAĞ
ilce,ÇORUM BELEDİYESİ,,810,,12.0,MHP,,İSMAİL ÇETİNKAYA,%45.18,,,DODURGA
ilce,ÇORUM BELEDİYESİ,,527,,13.0,AK PARTI,,MUSTAFA TOYDEMİR,%50.67,,,LAÇİN
ilce,ÇORUM BELEDİYESİ,,768,,14.0,CHP,,MUSTAFA CEBECİ,%36.47,,,OĞUZLAR
şehir,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,800.548,668.048,636.250,,,,,,,,
belediye başkanlığı alınan ilçeler,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,306.174,,1.0,CHP,15,,,,,
belediye başkanlığı alınan ilçeler,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,247.347,,2.0,AK PARTI,3,,,,,
belediye başkanlığı alınan ilçeler,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,18.091,,3.0,YENIDEN REFAH,1,,,,,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,306.174,,1.0,CHP,,BÜLENT NURİ ÇAVUŞOĞLU,%48.12,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,247.347,,2.0,AK PARTI,,OSMAN ZOLAN,%38.88,321.932,%50.59,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,29.435,,3.0,İYI PARTI,,YASİN ÖZTÜRK,%4.63,279.654,%43.95,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,18.091,,4.0,YENIDEN REFAH,,NAZİF MANAV,%2.84,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,10.506,,5.0,ZAFER PARTISI,,NURİ DALYAN,%1.65,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,7.262,,6.0,DEM PARTI,,CEVAHİR KAYAR,%1.14,8.833,%1.39,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.276,,7.0,MEMLEKET,,MUSTAFA ÇAĞLAYAN,%0.36,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.080,,8.0,DEVA PARTISI,,MEHMET MİRZA,%0.33,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,1.880,,9.0,GELECEK PARTISI,,SEMA SİLKİN ÜN,%0.30,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,1.686,,10.0,DP,,KERİM KULALI,%0.26,6.985,%1.10,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,1.601,,11.0,TİP,,YAĞMUR YALÇIN,%0.25,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,1.054,,12.0,BTP,,TURGAY URGAN,%0.17,1.768,%0.28,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,884,,13.0,YTP,,SERKAN ERBEĞİ,%0.14,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,867,,14.0,HÜDA PAR,,YUNUS AKBAY,%0.14,0,%0.00,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,861,,15.0,VATAN PARTISI,,MEHMET ÇOBANOĞLU,%0.14,2.427,%0.38,
belediye başkanlığı,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,853,,16.0,EMEP,,ÖZCAN GÖÇER,%0.13,0,%0.00,
meclisi alınan ilçeler,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,299.914,,1.0,CHP,15,,,,,
meclisi alınan ilçeler,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,191.810,,2.0,AK PARTI,3,,,,,
meclisi alınan ilçeler,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,23.245,,3.0,YENIDEN REFAH,1,,,,,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,299.914,,1.0,CHP,,,%47.69,252.686,%39.91,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,191.810,,2.0,AK PARTI,,,%30.50,293.975,%46.44,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,43.950,,3.0,İYI PARTI,,,%6.99,32.588,%5.15,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,23.245,,4.0,YENIDEN REFAH,,,%3.70,0,%0.00,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,16.069,,5.0,MHP,,,%2.56,12.213,%1.93,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,13.738,,6.0,ZAFER PARTISI,,,%2.18,0,%0.00,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,13.119,,7.0,BÜYÜK BIRLIK,,,%2.09,8.354,%1.32,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,7.252,,8.0,DEM PARTI,,,%1.15,5.042,%0.80,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.581,,9.0,DEVA PARTISI,,,%0.41,0,%0.00,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.328,,10.0,MEMLEKET,,,%0.37,0,%0.00,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.324,,11.0,DP,,,%0.37,11.157,%1.76,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.161,,12.0,BTP,,,%0.34,1.634,%0.26,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.082,,13.0,SAADET,,,%0.33,7.163,%1.13,
il meclisi,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,1.386,,14.0,TİP,,,%0.22,0,%0.00,
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,17.001,,1.0,CHP,,LEVENT YILDIRIM,%47.74,,,ACIPAYAM
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,9.218,,2.0,CHP,,MEHMET ALİ ORPAK,%53.19,,,BULDAN
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,7.392,,3.0,CHP,,AHMET HAKAN,%57.28,,,ÇAL
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,7.512,,4.0,AK PARTI,,CENGİZ ARSLAN,%63.18,,,ÇAMELİ
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,1.611,,5.0,CHP,,ALİ ALTINER,%27.94,,,ÇARDAK
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,13.738,,6.0,CHP,,SEMİH DERE,%37.36,,,ÇİVRİL
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,3.875,,7.0,CHP,,MEHMET ALİ ERAYDIN,%55.92,,,GÜNEY
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,6.530,,8.0,CHP,,ERKAN HAYLA,%50.27,,,KALE
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,10.762,,9.0,CHP,,MEHMET SALİH KONYA,%52.60,,,SARAYKÖY
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,14.404,,10.0,CHP,,KADİR TATIK,%52.87,,,TAVAS
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.153,,11.0,AK PARTI,,MURAT KUMRAL,%49.40,,,BABADAĞ
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.593,,12.0,CHP,,ÖNDER DEMİR,%56.73,,,BEKİLLİ
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,8.623,,13.0,CHP,,YÜKSEL KEPENEK,%45.18,,,HONAZ
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,4.947,,14.0,CHP,,OSMAN KILIÇ,%50.36,,,SERİNHİSAR
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,87.781,,15.0,CHP,,ALİ RIZA ERTEMÜR,%46.04,,,PAMUKKALE
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,1.581,,16.0,AK PARTI,,YUSUF GÜLSEVER,%41.18,,,BAKLAN
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.306,,17.0,YENIDEN REFAH,,SEZAYİ PÜTÜN,%49.95,,,BEYAĞAÇ
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,2.467,,18.0,CHP,,BİRSEN ÇELİK,%34.11,,,BOZKURT
ilce,DENIZLI BÜYÜKŞEHİR BELEDİYESİ,,115.311,,19.0,CHP,,ŞENİZ DOĞAN,%57.78,,,MERKEZEFENDİ
şehir,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,1.164.129,783.940,722.407,,,,,,,,
belediye başkanlığı alınan ilçeler,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,463.022,,1.0,DEM PARTI,13,,,,,
belediye başkanlığı alınan ilçeler,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,121.571,,2.0,AK PARTI,4,,,,,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,463.022,,1.0,DEM PARTI,,AYŞE SERRA BUCAK KÜÇÜK,%64.09,490.571,%62.93,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,121.571,,2.0,AK PARTI,,MEHMET HALİS BİLDEN,%16.83,241.633,%30.99,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,53.063,,3.0,HÜDA PAR,,FARUK DİNÇ,%7.35,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,26.637,,4.0,YENIDEN REFAH,,HİKMET KAPLAN,%3.69,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,25.221,,5.0,CHP,,CAFER PEKDEMİR,%3.49,14.270,%1.83,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,8.332,,6.0,DEVA PARTISI,,CENAP EKİNCİ,%1.15,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,5.080,,7.0,SAADET,,MUHAMMED SABIR FIRAT,%0.70,15.789,%2.03,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,3.722,,8.0,ZAFER PARTISI,,MAHMUT TATAR,%0.52,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,3.091,,9.0,İYI PARTI,,AHMET ÇAKIR,%0.43,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,2.928,,10.0,TKP,,DAVUT ŞANLI,%0.41,909,%0.12,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,1.956,,11.0,HAK-PAR,,MEHMETŞAH EREN,%0.27,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,1.819,,12.0,DSP,,ALİ ARTUN,%0.25,4.378,%0.56,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,1.426,,13.0,BTP,,ŞEYHMUS ELÇİ,%0.20,1.425,%0.18,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,804,,14.0,HKP,,ABDURRAHMAN KAYA,%0.11,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,621,,15.0,YTP,,UMUT ANAR,%0.09,0,%0.00,
belediye başkanlığı,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,563,,16.0,VATAN PARTISI,,FERDİ TANHAN,%0.08,521,%0.07,
meclisi alınan ilçeler,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,445.365,,1.0,DEM PARTI,15,,,,,
meclisi alınan ilçeler,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,121.449,,2.0,AK PARTI,2,,,,,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,445.365,,1.0,DEM PARTI,,,%62.57,474.773,%62.27,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,121.449,,2.0,AK PARTI,,,%17.06,236.987,%31.08,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,55.283,,3.0,HÜDA PAR,,,%7.77,0,%0.00,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,29.358,,4.0,YENIDEN REFAH,,,%4.12,0,%0.00,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,27.359,,5.0,CHP,,,%3.84,16.104,%2.11,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,9.247,,6.0,DEVA PARTISI,,,%1.30,0,%0.00,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,5.914,,7.0,SAADET,,,%0.83,23.714,%3.11,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,2.594,,8.0,DSP,,,%0.36,4.446,%0.58,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,2.396,,9.0,İYI PARTI,,,%0.34,0,%0.00,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,2.201,,10.0,TKP,,,%0.31,1.342,%0.18,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,1.854,,11.0,ZAFER PARTISI,,,%0.26,0,%0.00,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,1.729,,12.0,BTP,,,%0.24,221,%0.03,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,1.334,,13.0,BÜYÜK BIRLIK,,,%0.19,2.190,%0.29,
il meclisi,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,1.089,,14.0,SOL PARTI,,,%0.15,0,%0.00,
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,36.766,,1.0,DEM PARTI,,MİZGİN EKİN,%67.99,,,BİSMİL
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,6.075,,2.0,AK PARTI,,ŞEHMUS KARAMEHMETOĞLU,%25.66,,,ÇERMİK
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,15.780,,3.0,DEM PARTI,,SEMRA AKYÜZ,%49.21,,,ÇINAR
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,2.732,,4.0,AK PARTI,,ALİ SUAT AKMEŞE,%45.43,,,ÇÜNGÜŞ
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,8.415,,5.0,DEM PARTI,,HACİ AKENGİN,%48.34,,,DİCLE
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,32.706,,6.0,DEM PARTI,,ŞİYAR GÜLDİKEN,%56.62,,,ERGANİ
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,5.261,,7.0,DEM PARTI,,BESİLE NARİN,%38.85,,,HANİ
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,4.083,,8.0,AK PARTI,,FUAT MEHMETOĞLU,%50.18,,,HAZRO
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,9.834,,9.0,DEM PARTI,,FATMA AY,%55.95,,,KULP
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,11.169,,10.0,DEM PARTI,,DİLEK DİYAR ÖZER,%86.08,,,LİCE
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,26.009,,11.0,DEM PARTI,,SEVİM BİÇİCİ,%70.70,,,SİLVAN
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,4.589,,12.0,AK PARTI,,FIRAT SEYDAOĞLU,%38.11,,,EĞİL
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,5.276,,13.0,DEM PARTI,,MEHMET ŞIK,%72.22,,,KOCAKÖY
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,99.890,,14.0,DEM PARTI,,SİRAÇ ÇELİK,%71.83,,,BAĞLAR
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,108.555,,15.0,DEM PARTI,,GÜLŞEN SİNCAR,%68.86,,,KAYAPINAR
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,24.607,,16.0,DEM PARTI,,ADNAN ÖRHAN,%63.60,,,SUR
ilce,DIYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,,50.850,,17.0,DEM PARTI,,SAFİYE AKDAĞ,%62.51,,,YENİŞEHİR
şehir,DÜZCE BELEDİYESİ,137.162,107.360,102.525,,,,,,,,
belediye başkanlığı alınan ilçeler,DÜZCE BELEDİYESİ,,41.233,,1.0,AK PARTI,4,,,,,
belediye başkanlığı alınan ilçeler,DÜZCE BELEDİYESİ,,4.198,,2.0,MHP,3,,,,,
belediye başkanlığı alınan ilçeler,DÜZCE BELEDİYESİ,,13.711,,3.0,CHP,1,,,,,
belediye başkanlığı,DÜZCE BELEDİYESİ,,41.233,,1.0,AK PARTI,,FARUK ÖZLÜ,%40.22,44.299,%47.14,
belediye başkanlığı,DÜZCE BELEDİYESİ,,30.524,,2.0,YENIDEN REFAH,,DAVUT GÜLOĞLU,%29.77,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,13.711,,3.0,CHP,,SEDAT ÇELİKEL,%13.37,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,6.286,,4.0,İYI PARTI,,MEHMET KELEŞ,%6.13,26.280,%27.97,
belediye başkanlığı,DÜZCE BELEDİYESİ,,4.198,,5.0,MHP,,YILMAZ ESER,%4.09,20.443,%21.75,
belediye başkanlığı,DÜZCE BELEDİYESİ,,1.614,,6.0,ZAFER PARTISI,,SEMİH VURUŞ,%1.57,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,1.570,,7.0,SAADET,,NEVFEL KADİR GÜNER,%1.53,862,%0.92,
belediye başkanlığı,DÜZCE BELEDİYESİ,,1.215,,8.0,DEVA PARTISI,,MURAT CAYMAZ,%1.19,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,607,,9.0,DEM PARTI,,AYFER FATMA ÇELİK,%0.59,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,244,,10.0,BTP,,MAHMUT ATASEVEN,%0.24,162,%0.17,
belediye başkanlığı,DÜZCE BELEDİYESİ,,208,,11.0,DSP,,BEKİR YILDIZ,%0.20,226,%0.24,
belediye başkanlığı,DÜZCE BELEDİYESİ,,202,,12.0,YTP,,MEHMET AKDOĞAN,%0.20,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,145,,13.0,VATAN PARTISI,,FETHİ SÖNMEZ,%0.14,182,%0.19,
belediye başkanlığı,DÜZCE BELEDİYESİ,,142,,14.0,ANAP,,NACİ KAPLAN,%0.14,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,130,,15.0,HÜDA PAR,,ADEM ACET,%0.13,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,124,,16.0,TİP,,ALİ EMRE İPEK,%0.12,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,103,,17.0,TKH,,MUSTAFA KILINÇ,%0.10,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,86,,18.0,AB PARTI,,MUHAMMET ALİ AKSOY,%0.08,0,%0.00,
belediye başkanlığı,DÜZCE BELEDİYESİ,,58,,19.0,HKP,,ÖZGE KASAP,%0.06,0,%0.00,
meclisi alınan ilçeler,DÜZCE BELEDİYESİ,,94.208,,1.0,AK PARTI,6,,,,,
meclisi alınan ilçeler,DÜZCE BELEDİYESİ,,33.678,,2.0,MHP,2,,,,,
il meclisi,DÜZCE BELEDİYESİ,,94.208,,1.0,AK PARTI,,,%39.37,112.611,%47.66,
il meclisi,DÜZCE BELEDİYESİ,,48.828,,2.0,YENIDEN REFAH,,,%20.41,0,%0.00,
il meclisi,DÜZCE BELEDİYESİ,,33.678,,3.0,MHP,,,%14.08,66.690,%28.23,
il meclisi,DÜZCE BELEDİYESİ,,32.600,,4.0,CHP,,,%13.63,19.154,%8.11,
il meclisi,DÜZCE BELEDİYESİ,,13.180,,5.0,İYI PARTI,,,%5.51,29.234,%12.37,
il meclisi,DÜZCE BELEDİYESİ,,4.099,,6.0,ZAFER PARTISI,,,%1.71,0,%0.00,
il meclisi,DÜZCE BELEDİYESİ,,3.714,,7.0,SAADET,,,%1.55,2.936,%1.24,
il meclisi,DÜZCE BELEDİYESİ,,2.203,,8.0,BÜYÜK BIRLIK,,,%0.92,2.008,%0.85,
il meclisi,DÜZCE BELEDİYESİ,,1.788,,9.0,DEVA PARTISI,,,%0.75,0,%0.00,
il meclisi,DÜZCE BELEDİYESİ,,831,,10.0,BTP,,,%0.35,386,%0.16,
il meclisi,DÜZCE BELEDİYESİ,,667,,11.0,MILLET,,,%0.28,0,%0.00,
il meclisi,DÜZCE BELEDİYESİ,,629,,12.0,DSP,,,%0.26,464,%0.20,
il meclisi,DÜZCE BELEDİYESİ,,619,,13.0,DEM PARTI,,,%0.26,537,%0.23,
il meclisi,DÜZCE BELEDİYESİ,,587,,14.0,SOL PARTI,,,%0.25,0,%0.00,
il meclisi,DÜZCE BELEDİYESİ,,531,,15.0,DP,,,%0.22,1.224,%0.52,
il meclisi,DÜZCE BELEDİYESİ,,411,,16.0,TİP,,,%0.17,0,%0.00,
il meclisi,DÜZCE BELEDİYESİ,,355,,17.0,HÜDA PAR,,,%0.15,0,%0.00,
il meclisi,DÜZCE BELEDİYESİ,,335,,18.0,VATAN PARTISI,,,%0.14,423,%0.18,
ilce,DÜZCE BELEDİYESİ,,6.131,,1.0,CHP,,FİKRET ALBAYRAK,%37.41,,,AKÇAKOCA
ilce,DÜZCE BELEDİYESİ,,41.233,,2.0,AK PARTI,,FARUK ÖZLÜ,%40.22,,,MERKEZ
ilce,DÜZCE BELEDİYESİ,,732,,3.0,AK PARTI,,SELAMİ SAVAŞ,%36.15,,,YIĞILCA
ilce,DÜZCE BELEDİYESİ,,2.794,,4.0,MHP,,MUSTAFA KOLOĞLU,%42.45,,,CUMAYERİ
ilce,DÜZCE BELEDİYESİ,,2.519,,5.0,MHP,,MUZAFFER COŞKUN,%33.80,,,GÖLYAKA
ilce,DÜZCE BELEDİYESİ,,2.392,,6.0,AK PARTI,,YILMAZ YILDIZ,%47.49,,,ÇİLİMLİ
ilce,DÜZCE BELEDİYESİ,,2.909,,7.0,AK PARTI,,KENAN SÜBEKCİ,%49.11,,,GÜMÜŞOVA
ilce,DÜZCE BELEDİYESİ,,1.988,,8.0,MHP,,EFDAL ALTUNDAL,%32.38,,,KAYNAŞLI
şehir,EDIRNE BELEDİYESİ,129.084,102.127,99.116,,,,,,,,
belediye başkanlığı alınan ilçeler,EDIRNE BELEDİYESİ,,46.260,,1.0,CHP,6,,,,,
belediye başkanlığı alınan ilçeler,EDIRNE BELEDİYESİ,,42.119,,2.0,AK PARTI,2,,,,,
belediye başkanlığı alınan ilçeler,EDIRNE BELEDİYESİ,,5.391,,3.0,İYI PARTI,1,,,,,
belediye başkanlığı,EDIRNE BELEDİYESİ,,46.260,,1.0,CHP,,FİLİZ GENCAN AKIN,%46.67,42.388,%44.87,
belediye başkanlığı,EDIRNE BELEDİYESİ,,42.119,,2.0,AK PARTI,,BELGİN İBA,%42.49,38.555,%40.81,
belediye başkanlığı,EDIRNE BELEDİYESİ,,5.391,,3.0,İYI PARTI,,HAMDİ SEDEFÇİ,%5.44,0,%0.00,
belediye başkanlığı,EDIRNE BELEDİYESİ,,1.920,,4.0,ZAFER PARTISI,,SERKAN KONAK,%1.94,0,%0.00,
belediye başkanlığı,EDIRNE BELEDİYESİ,,987,,5.0,DEM PARTI,,AYLİN HACALOĞLU,%1.00,1.158,%1.23,
belediye başkanlığı,EDIRNE BELEDİYESİ,,337,,6.0,YENIDEN REFAH,,ALİ YALÇINDAĞ,%0.34,0,%0.00,
